ID.rnaseq	logFC
novel.12125	4.42741126739941
ENSRNOG00000047706	-2.55258628386153
novel.8335	2.47101319152806
novel.2660	2.40921938783706
ENSRNOG00000049394	-2.28516498779418
novel.8431	2.16649707200461
novel.644	2.15552893746141
novel.5731	2.15014986520998
novel.11868	2.13599950892814
ENSRNOG00000020799	-1.99061246586776
novel.9559	-1.97544451156925
ENSRNOG00000055992	1.87536888976983
novel.9591	1.85006869344606
ENSRNOG00000047206	-1.82019383902352
ENSRNOG00000046379	-1.75637570153274
ENSRNOG00000049696	1.75103713668341
ENSRNOG00000004247	1.71338468263776
ENSRNOG00000020117	-1.67227079444771
ENSRNOG00000052664	-1.66864801611868
ENSRNOG00000054334	-1.62695484544621
ENSRNOG00000047000	-1.626123707517
ENSRNOG00000020616	-1.61856994467149
novel.367	1.60851862721303
ENSRNOG00000050800	-1.57602301281604
ENSRNOG00000016812	-1.57421198531744
novel.12198	-1.55418088637437
ENSRNOG00000045686	-1.54971466484219
novel.9558	-1.54266940903971
novel.7277	1.54245213523828
novel.1762	1.5218368705924
ENSRNOG00000050172	1.521560256825
ENSRNOG00000009218	-1.51431816012967
ENSRNOG00000029792	1.47416808584321
novel.10688	1.47357173665608
ENSRNOG00000026309	-1.47164796200008
ENSRNOG00000060523	-1.47121325853869
ENSRNOG00000047854	1.42919876550824
ENSRNOG00000051570	1.40721205271822
ENSRNOG00000008890	-1.40182800020239
ENSRNOG00000051002	-1.40098425104644
ENSRNOG00000061182	-1.39870754493771
ENSRNOG00000023387	1.39158155772632
novel.6706	1.38833660830058
ENSRNOG00000048049	-1.37180827588481
ENSRNOG00000046250	1.36733655641061
ENSRNOG00000003160	-1.36128087933697
ENSRNOG00000045949	-1.36111640571558
ENSRNOG00000050469	1.35491899602926
novel.528	1.3328508515688
ENSRNOG00000023557	1.32871166686064
ENSRNOG00000013548	-1.31181612594228
ENSRNOG00000020151	1.30557029097486
ENSRNOG00000059883	-1.30356279915957
novel.10003	-1.28563594894192
ENSRNOG00000017409	1.28405594821343
ENSRNOG00000049397	1.27652865238408
novel.8941	1.27029307523987
ENSRNOG00000046295	1.26835783957526
ENSRNOG00000051307	1.26460472974253
ENSRNOG00000012557	1.26206103407011
novel.7708	1.25264848894911
novel.10306	1.25106625099132
ENSRNOG00000019447	-1.24999907193845
ENSRNOG00000047565	-1.24705698052205
ENSRNOG00000018321	1.23116714844317
ENSRNOG00000007552	-1.22874500450428
ENSRNOG00000002960	-1.22496474555345
ENSRNOG00000012311	1.22463123198469
ENSRNOG00000005247	1.20918099699415
ENSRNOG00000025216	1.19115015551154
ENSRNOG00000014532	1.18692006549956
ENSRNOG00000010053	-1.18470987702276
ENSRNOG00000032720	-1.17083093386072
ENSRNOG00000052977	-1.17009404719846
ENSRNOG00000048808	1.163283414638
novel.6330	1.16191559287758
novel.8940	1.15231538014936
ENSRNOG00000018736	1.14496278648293
ENSRNOG00000025764	1.13766141545317
ENSRNOG00000022946	-1.12893582633898
novel.7275	1.12373673170486
ENSRNOG00000042985	1.11363039723086
ENSRNOG00000048114	1.10940981836733
ENSRNOG00000008644	-1.09292731427424
ENSRNOG00000046439	-1.08244257710403
ENSRNOG00000055049	1.07836519981379
ENSRNOG00000061059	1.07560381311064
ENSRNOG00000050193	-1.06791623655367
ENSRNOG00000048413	1.06497497089722
ENSRNOG00000033146	1.05721491618206
ENSRNOG00000013887	-1.05484220547597
ENSRNOG00000047907	1.05027167766111
novel.11750	-1.05000117741435
novel.10245	1.04753988463534
ENSRNOG00000026845	1.04358874331624
novel.4805	1.03874713536326
ENSRNOG00000004101	1.03754540225169
ENSRNOG00000049743	1.03601964385482
ENSRNOG00000037364	1.03247813772578
novel.920	-1.03004835763995
ENSRNOG00000020621	-1.02925652364586
ENSRNOG00000010720	1.02870676869682
ENSRNOG00000029401	1.02734471718716
ENSRNOG00000012920	-1.02632126947186
ENSRNOG00000015668	1.02234372571619
ENSRNOG00000046790	-1.01612558669677
ENSRNOG00000049598	-1.01564172710078
ENSRNOG00000030938	1.01271775285049
ENSRNOG00000020729	1.01093794530123
ENSRNOG00000057522	1.00635210720502
novel.5688	-1.00599976980226
ENSRNOG00000004441	1.00396247516628
ENSRNOG00000012876	1.00157241355043
ENSRNOG00000037984	-0.996932033358145
ENSRNOG00000054165	0.993042194941044
ENSRNOG00000047971	-0.990936073397757
novel.8471	-0.99046336939682
ENSRNOG00000015211	-0.979761270654516
ENSRNOG00000038047	0.976216783781319
novel.8827	0.970600910286191
novel.8687	0.97052698707615
ENSRNOG00000010696	0.968865488038847
ENSRNOG00000012759	-0.957630546763297
ENSRNOG00000006422	-0.941301955873547
ENSRNOG00000005059	-0.938364054406609
ENSRNOG00000059539	0.937550244467222
ENSRNOG00000053109	0.936603684818468
novel.8882	0.935069756664968
novel.11329	0.933819754345116
ENSRNOG00000030069	-0.933723646695971
ENSRNOG00000008947	0.933581384512476
ENSRNOG00000048168	0.9269851866608
ENSRNOG00000051406	-0.926433570081423
ENSRNOG00000013141	-0.922937764203537
ENSRNOG00000025810	-0.91622304485468
novel.3829	0.910965801566669
ENSRNOG00000004642	0.90939244898553
ENSRNOG00000026592	0.909079090050398
ENSRNOG00000056810	-0.908157267387334
ENSRNOG00000048470	0.907607209447537
novel.10079	-0.897568925510762
ENSRNOG00000045683	-0.895994722355904
ENSRNOG00000012259	-0.894827003406389
ENSRNOG00000040005	0.892788756321296
novel.5265	0.883272494824003
ENSRNOG00000026672	0.882631773893909
ENSRNOG00000049229	-0.881108724221808
novel.1197	-0.879789427421594
ENSRNOG00000009371	0.87777965428489
novel.4403	0.875628767320059
novel.3960	0.873567107914161
ENSRNOG00000013426	0.870091965507758
ENSRNOG00000051996	-0.869979825687137
ENSRNOG00000011621	0.869801447811328
ENSRNOG00000045653	0.867050968784598
novel.7777	-0.864977155440307
ENSRNOG00000013232	-0.864785256048518
ENSRNOG00000049330	-0.863909252785556
ENSRNOG00000016102	-0.863774266588735
ENSRNOG00000027271	0.862031549716397
ENSRNOG00000049491	0.859671332668206
novel.5586	0.857347256660529
novel.1223	-0.853084301827658
novel.3395	0.852142827322846
ENSRNOG00000043137	-0.851467362372357
ENSRNOG00000028548	0.85028978520908
ENSRNOG00000008855	0.847912145787112
ENSRNOG00000048561	0.847565376450148
ENSRNOG00000013407	-0.84578447065053
ENSRNOG00000029686	-0.838039022723461
ENSRNOG00000056032	-0.837901907283888
ENSRNOG00000054843	-0.837370149296161
ENSRNOG00000023465	0.836375131228858
ENSRNOG00000027030	0.835440254965933
ENSRNOG00000012478	0.835142375315602
ENSRNOG00000017987	-0.833384522827954
ENSRNOG00000057931	0.831065070466017
ENSRNOG00000002462	0.830888656342307
ENSRNOG00000048924	0.829962023206384
ENSRNOG00000000413	0.829927653359769
novel.11361	0.829820934310675
novel.7404	0.829111814442687
novel.8642	-0.827624102804013
ENSRNOG00000015727	0.826026320649275
ENSRNOG00000009096	0.822675442718481
ENSRNOG00000017699	0.82096913305645
ENSRNOG00000000245	0.820959880672641
ENSRNOG00000003569	-0.818585226853386
ENSRNOG00000018426	0.817820998988494
ENSRNOG00000002265	-0.817563404477362
ENSRNOG00000048608	-0.816087668450706
ENSRNOG00000003510	0.813615113645344
ENSRNOG00000016696	0.812703376692696
ENSRNOG00000043098	0.81135592728825
novel.9843	0.810618440391205
ENSRNOG00000048562	-0.806012805129412
novel.3409	0.805432345933405
ENSRNOG00000000916	-0.804493475075863
ENSRNOG00000060898	-0.80380759142323
novel.8045	0.801857775862635
ENSRNOG00000027079	-0.795202825716072
novel.5456	-0.785163069642646
ENSRNOG00000058510	0.785074334215836
ENSRNOG00000047350	0.783289386234571
ENSRNOG00000004372	-0.782837940659084
novel.2899	-0.782109288442892
novel.5623	0.781945020651857
ENSRNOG00000023177	0.781800677061811
ENSRNOG00000015049	-0.781012900062603
ENSRNOG00000050210	-0.780362891622035
ENSRNOG00000012090	0.777892137552845
ENSRNOG00000039063	-0.776388236851027
ENSRNOG00000011184	0.77546020703547
ENSRNOG00000028752	0.774763223502521
ENSRNOG00000049878	-0.77400950312733
ENSRNOG00000019771	0.773327228262934
novel.8708	0.772211920594345
ENSRNOG00000050367	-0.772189424250101
ENSRNOG00000005246	-0.76806469502095
novel.10324	0.767761612327052
ENSRNOG00000057031	-0.764398174437853
ENSRNOG00000045814	-0.763101502295035
ENSRNOG00000057404	0.762928871187335
ENSRNOG00000021782	0.762524976534322
ENSRNOG00000015447	-0.761933612887168
ENSRNOG00000036700	0.761840351265515
ENSRNOG00000011250	0.760764061268648
ENSRNOG00000017226	0.758579329512121
novel.10012	-0.754210740797596
ENSRNOG00000001747	0.752236855888695
ENSRNOG00000018285	-0.749403183290225
ENSRNOG00000047809	-0.74908859858915
